"exptid","accession","institution","facility","flat","row","column","fruitnum","aborted.fruits","inflorescence.height","diameter.at.bolt","treatment","parent_id"
"1a1","SALK_051039C","CofC","COFC-GC2",7,"G",2,12,7,16.2,34.2,"standard GC","BC_S11Farm_0278"
"1a1","SALK_051074C","BC","BC-GC1",6,"E",2,NA,NA,NA,73.58,"standard GC","BC_S11Farm_0279"
"1a1","SALK_051074C","CofC","COFC-GC1",6,"E",6,12,5,15.3,30.4,"standard GC","BC_S11Farm_0279"
"1a1","SALK_051074C","CofC","COFC-GC2",7,"G",4,11,5,15.5,32.3,"standard GC","BC_S11Farm_0279"
"1a1","SALK_051138C","BC","BC-GC1",5,"I",3,89,19,31,66.36,"standard GC","CofC_S11Farm_0637"
"1a1","SALK_051138C","CofC","COFC-GC1",6,"H",2,25,7,19.2,31.2,"standard GC","CofC_S11Farm_0637"
"1a1","SALK_051138C","CofC","COFC-GC2",7,"E",4,13,7,14.3,25.5,"standard GC","CofC_S11Farm_0637"
"1a1","SALK_053489C","BC","BC-GC1",5,"G",6,82,5,30,49.75,"standard GC","CofC_SF01_0021"
"1a1","SALK_053489C","CofC","COFC-GC1",6,"A",3,19,5,15.6,21.8,"standard GC","CofC_SF01_0021"
"1a1","SALK_053489C","CofC","COFC-GC2",10,"C",6,28,10,23.6,35.5,"standard GC","CofC_SF01_0021"
"1a1","SALK_058070C","BC","BC-GC1",1,"J",2,126,4,34.5,66.49,"standard GC","CofC_S11Farm_0685"
"1a1","SALK_058070C","CofC","COFC-GC1",2,"C",1,29,3,22.1,36.8,"standard GC","CofC_S11Farm_0685"
"1a1","SALK_058070C","CofC","COFC-GC2",9,"J",1,41,8,27.1,32.7,"standard GC","CofC_S11Farm_0685"
"1a1","SALK_064199C","BC","BC-GC1",4,"D",6,78,5,28.3,55.09,"standard GC","CofC_SF01_0063"
"1a1","SALK_064199C","CofC","COFC-GC1",4,"B",3,17,2,19.8,31.2,"standard GC","CofC_SF01_0063"
"1a1","SALK_064199C","CofC","COFC-GC2",11,"A",6,15,7,18.1,32.7,"standard GC","CofC_SF01_0063"
"1a1","SALK_065267C","BC","BC-GC1",6,"K",2,100,46,29.9,58.27,"standard GC","CofC_S11Farm_0761"
"1a1","SALK_065267C","CofC","COFC-GC1",6,"E",1,17,4,19.6,27.4,"standard GC","CofC_S11Farm_0761"
"1a1","SALK_065267C","CofC","COFC-GC2",11,"H",2,26,10,22.9,31.4,"standard GC","CofC_S11Farm_0761"
"1a1","SALK_066578C","BC","BC-GC1",1,"E",5,51,0,29.4,43.17,"standard GC","CofC_S11Farm_0781"
"1a1","SALK_066578C","CofC","COFC-GC1",5,"L",2,8,5,14.1,19.4,"standard GC","CofC_S11Farm_0781"
"1a1","SALK_066578C","CofC","COFC-GC2",9,"J",4,21,7,21.2,41.4,"standard GC","CofC_S11Farm_0781"
"1a1","SALK_067430C","BC","BC-GC1",4,"C",5,76,11,30.3,47.12,"standard GC","CofC_S11Farm_0794"
